Frame,Emotion,Confidence (%)
578,neutral,69.72229
580,neutral,69.72229
582,neutral,87.7393
584,neutral,71.14917
586,sad,33.604973
588,neutral,70.63911
590,neutral,85.23946
592,neutral,85.25111
594,neutral,85.25111
596,neutral,85.25111
598,neutral,85.25111
600,neutral,85.25111
602,neutral,85.25111
604,neutral,85.25111
606,neutral,85.25111
608,neutral,85.25111
610,sad,54.72691
612,sad,54.72691
614,neutral,40.327885
616,sad,52.513805
618,sad,52.500088
620,sad,49.14887
622,sad,52.43636
624,sad,52.4308
626,sad,52.43636
628,sad,49.15585
630,sad,52.43823
632,sad,48.695724
634,sad,48.70879
636,sad,49.165947
638,sad,48.66304
640,sad,48.65007
642,sad,48.66304
644,sad,49.165947
646,sad,48.66273
648,sad,48.649773
650,sad,48.66273
652,sad,49.165947
654,sad,52.409107
656,sad,52.40338
658,sad,52.409107
660,sad,49.165947
662,neutral,40.86407
664,neutral,43.28016
666,neutral,44.803658
668,neutral,44.14348
670,sad,46.422363
672,sad,46.197613
674,sad,46.199203
676,neutral,67.51485
678,sad,46.192314
680,sad,46.190914
682,sad,46.192314
684,neutral,76.05302
686,sad,46.192314
688,sad,46.190914
690,sad,46.192314
692,neutral,76.05302
694,sad,48.103535
696,sad,48.103535
698,neutral,31.745655
700,neutral,31.488522
702,neutral,30.87361
704,sad,52.390892
706,sad,43.26909
708,sad,42.54511
710,sad,43.411156
712,sad,42.862595
714,neutral,31.533514
716,sad,52.212944
718,neutral,31.533903
720,sad,42.86362
722,neutral,31.533903
724,sad,52.21263
726,fear,46.529755
728,fear,93.653175
730,angry,33.36367
732,fear,91.89807
734,fear,91.88029
736,sad,46.79044
738,fear,91.89151
740,fear,91.89963
742,fear,91.89151
744,fear,91.89151
746,fear,91.89151
748,fear,91.89963
750,sad,61.41915
752,sad,61.537476
754,fear,68.527504
756,fear,68.15247
758,fear,48.80423
760,fear,45.151634
762,fear,67.63558
764,fear,56.194504
766,fear,78.75452
768,fear,78.757164
770,fear,76.54261
772,fear,78.757164
774,fear,78.75452
776,sad,46.437843
778,sad,46.4688
780,sad,46.465637
782,sad,66.242584
784,sad,66.242584
786,sad,66.242584
788,sad,46.46565
790,sad,46.340168
792,sad,46.340168
794,sad,46.340168
796,sad,46.340168
798,sad,46.340168
800,sad,46.340168
802,sad,46.340168
804,sad,46.340168
806,sad,46.340168
808,sad,46.340168
810,sad,46.340168
812,sad,69.20165
814,sad,69.20165
816,sad,54.285355
818,sad,73.20309
820,sad,78.0617
822,sad,73.21054
824,sad,64.26016
826,sad,73.22343
828,sad,64.26016
830,sad,73.21053
832,sad,73.21053
834,sad,73.21053
836,sad,73.23169
838,sad,73.22284
840,sad,73.224144
842,sad,73.225105
844,sad,73.225105
846,sad,73.225105
848,sad,73.225105
850,sad,73.225105
852,sad,73.225105
854,sad,73.225105
856,sad,73.225105
858,sad,73.225105
860,sad,73.228836
862,sad,66.39657
864,fear,39.693604
866,sad,44.81139
868,sad,44.837616
870,sad,47.223766
872,neutral,79.53499
874,neutral,79.53121
876,neutral,79.53499
878,neutral,79.53121
880,neutral,87.68332
882,neutral,79.53121
884,neutral,87.68332
886,neutral,79.53121
888,neutral,87.68332
890,neutral,79.53121
892,neutral,96.558495
894,sad,51.215065
896,sad,62.92005
898,sad,56.0334
900,angry,44.977634
902,sad,55.807735
904,sad,55.80453
906,sad,55.802647
908,sad,55.802647
910,sad,55.805904
912,sad,55.802727
914,sad,55.802727
916,sad,55.802647
918,sad,55.8058
920,sad,55.802647
922,sad,55.802727
924,sad,55.802727
926,sad,55.805912
928,sad,67.86191
930,sad,67.8597
932,sad,66.10323
934,fear,78.225815
936,fear,78.22552
938,fear,78.22498
940,fear,78.22559
942,fear,78.22588
944,fear,78.22559
946,fear,78.22498
948,fear,78.22559
950,fear,78.22579
952,fear,78.22551
954,fear,78.22486
956,fear,78.22551
958,fear,78.22579
960,sad,91.865685
962,sad,67.82153
964,sad,51.000034
966,sad,81.81115
968,sad,82.11054
970,sad,81.823715
972,sad,81.82533
974,sad,81.92591
976,sad,81.92619
978,sad,81.92619
980,sad,81.92619
982,sad,81.92458
984,sad,81.92586
986,sad,81.92586
988,sad,81.92586
990,sad,81.92458
992,sad,81.92458
994,sad,81.92458
996,sad,81.919846
998,sad,94.76099
1000,sad,79.21558
1002,sad,79.201294
1004,sad,98.80583
1006,sad,98.820244
1008,sad,98.805786
1010,sad,98.91604
1012,sad,93.44214
1014,sad,89.04419
1016,sad,89.06671
1018,sad,89.05498
1020,sad,89.05589
1022,sad,89.05435
1024,sad,89.06185
1026,sad,89.055
1028,sad,89.05646
1030,sad,89.055
1032,sad,89.06185
1034,sad,89.055
1036,sad,89.05646
1038,sad,89.055
1040,sad,89.06185
1042,sad,89.05435
1044,sad,89.05422
1046,sad,89.05435
1048,sad,89.06185
1050,sad,89.055
1052,sad,89.05483
1054,sad,89.055
1056,sad,89.06185
1058,sad,69.492714
1060,sad,97.44567
1062,sad,91.28768
1064,sad,85.867805
1066,sad,87.54781
1068,sad,85.97676
1070,sad,85.98067
1072,sad,86.04823
1074,sad,85.98067
1076,sad,85.980934
1078,sad,85.98067
1080,sad,86.04823
1082,sad,85.98067
1084,sad,85.980934
1086,sad,85.98067
1088,sad,86.04823
1090,sad,85.98067
